,index,seconds,minutes,dateTime,ser_vol,ser_cur,ser_pow,cli_vol,cli_cur,cli_pow,newIndex,cli_temp
212,1073,1073.258,17.8876333333,20220426 13:38:35,5,0.41,2.05,5,0.41,2.05,46,
213,1074,1074.256,17.9042666667,20220426 13:38:36,5,0.4,2.0,5,0.73,3.65,47,
214,1075,1075.265,17.9210833333,20220426 13:38:37,5,0.41,2.05,5,0.68,3.4,48,
215,1076,1076.261,17.9376833333,20220426 13:38:38,5,0.51,2.55,5,0.86,4.3,49,
216,1077,1077.261,17.95435,20220426 13:38:39,5,0.46,2.3,5,0.51,2.55,50,
217,1078,1078.263,17.97105,20220426 13:38:40,5,0.4,2.0,5,0.44,2.2,51,
218,1218,1218.259,20.3043166667,20220426 13:41:00,5,0.4,2.0,5,0.7,3.5,0,
219,1219,1219.259,20.3209833333,20220426 13:41:01,5,0.55,2.75,5,0.66,3.3,1,
220,1220,1220.255,20.3375833333,20220426 13:41:02,5,0.62,3.1,5,0.72,3.6,2,
221,1221,1221.257,20.3542833333,20220426 13:41:03,5,0.47,2.35,5,0.75,3.75,3,
222,1222,1222.257,20.37095,20220426 13:41:04,5,0.47,2.35,5,0.74,3.7,4,
223,1223,1223.263,20.3877166667,20220426 13:41:05,5,0.4,2.0,5,0.85,4.25,5,
224,1224,1224.256,20.4042666667,20220426 13:41:06,5,0.49,2.45,5,0.63,3.15,6,
225,1225,1225.259,20.4209833333,20220426 13:41:07,5,0.51,2.55,5,0.65,3.25,7,
226,1226,1226.256,20.4376,20220426 13:41:08,5,0.5,2.5,5,0.63,3.15,8,
227,1227,1227.261,20.45435,20220426 13:41:09,5,0.4,2.0,5,0.68,3.4,9,
228,1228,1228.258,20.4709666667,20220426 13:41:10,5,0.4,2.0,5,0.51,2.55,10,
229,1229,1229.257,20.4876166667,20220426 13:41:11,5,0.4,2.0,5,0.43,2.15,11,
230,1230,1230.263,20.5043833333,20220426 13:41:12,5,0.47,2.35,5,0.72,3.6,12,
231,1231,1231.261,20.5210166667,20220426 13:41:13,5,0.47,2.35,5,0.75,3.75,13,
232,1232,1232.259,20.53765,20220426 13:41:14,5,0.46,2.3,5,0.81,4.05,14,
233,1233,1233.256,20.5542666667,20220426 13:41:15,5,0.4,2.0,5,0.48,2.4,15,
234,1234,1234.255,20.5709166667,20220426 13:41:16,5,0.47,2.35,5,0.46,2.3,16,
235,1235,1235.258,20.5876333333,20220426 13:41:17,5,0.47,2.35,5,0.78,3.9,17,
236,1236,1236.257,20.6042833333,20220426 13:41:18,5,0.47,2.35,5,0.78,3.9,18,
237,1237,1237.263,20.62105,20220426 13:41:19,5,0.47,2.35,5,0.74,3.7,19,
238,1238,1238.257,20.6376166667,20220426 13:41:20,5,0.47,2.35,5,0.74,3.7,20,
239,1239,1239.259,20.6543166667,20220426 13:41:21,5,0.41,2.05,5,0.75,3.75,21,
240,1240,1240.262,20.6710333333,20220426 13:41:22,5,0.41,2.05,5,0.55,2.75,22,
241,1241,1241.26,20.6876666667,20220426 13:41:23,5,0.42,2.1,5,0.5,2.5,23,
242,1242,1242.257,20.7042833333,20220426 13:41:24,5,0.4,2.0,5,0.84,4.2,24,
243,1243,1243.263,20.72105,20220426 13:41:25,5,0.41,2.05,5,0.42,2.1,25,
244,1244,1244.256,20.7376,20220426 13:41:26,5,0.4,2.0,5,0.41,2.05,26,
245,1245,1245.263,20.7543833333,20220426 13:41:27,5,0.45,2.25,5,0.73,3.65,27,
246,1246,1246.259,20.7709833333,20220426 13:41:28,5,0.41,2.05,5,0.64,3.2,28,
247,1247,1247.262,20.7877,20220426 13:41:29,5,0.41,2.05,5,0.49,2.45,29,
248,1248,1248.255,20.80425,20220426 13:41:30,5,0.4,2.0,5,0.41,2.05,30,
249,1249,1249.257,20.82095,20220426 13:41:31,5,0.46,2.3,5,0.81,4.05,31,
250,1250,1250.255,20.8375833333,20220426 13:41:32,5,0.4,2.0,5,0.75,3.75,32,
251,1251,1251.263,20.8543833333,20220426 13:41:33,5,0.4,2.0,5,0.46,2.3,33,
252,1252,1252.26,20.871,20220426 13:41:34,5,0.4,2.0,5,0.41,2.05,34,
253,1253,1253.264,20.8877333333,20220426 13:41:35,5,0.47,2.35,5,0.75,3.75,35,
254,1254,1254.256,20.9042666667,20220426 13:41:36,5,0.41,2.05,5,0.88,4.4,36,
255,1255,1255.259,20.9209833333,20220426 13:41:37,5,0.41,2.05,5,0.49,2.45,37,
256,1256,1256.257,20.9376166667,20220426 13:41:38,5,0.4,2.0,5,0.41,2.05,38,
257,1257,1257.264,20.9544,20220426 13:41:39,5,0.41,2.05,5,0.68,3.4,39,
258,1258,1258.259,20.9709833333,20220426 13:41:40,5,0.47,2.35,5,0.83,4.15,40,
259,1259,1259.261,20.9876833333,20220426 13:41:41,5,0.41,2.05,5,0.77,3.85,41,
260,1260,1260.264,21.0044,20220426 13:41:42,5,0.41,2.05,5,0.65,3.25,42,
261,1261,1261.255,21.0209166667,20220426 13:41:43,5,0.41,2.05,5,0.66,3.3,43,
262,1262,1262.257,21.0376166667,20220426 13:41:44,5,0.41,2.05,5,0.64,3.2,44,
263,1263,1263.256,21.0542666667,20220426 13:41:45,5,0.4,2.0,5,0.46,2.3,45,
264,1264,1264.257,21.07095,20220426 13:41:46,5,0.41,2.05,5,0.74,3.7,46,
265,1265,1265.261,21.0876833333,20220426 13:41:47,5,0.4,2.0,5,0.81,4.05,47,
266,1266,1266.258,21.1043,20220426 13:41:48,5,0.41,2.05,5,0.86,4.3,48,
267,1267,1267.263,21.12105,20220426 13:41:49,5,0.49,2.45,5,0.83,4.15,49,
268,1268,1268.256,21.1376,20220426 13:41:50,5,0.41,2.05,5,0.46,2.3,50,
269,1269,1269.258,21.1543,20220426 13:41:51,5,0.4,2.0,5,0.41,2.05,51,
270,1408,1408.256,23.4709333333,20220426 13:44:10,5,0.4,2.0,5,0.43,2.15,0,
271,1409,1409.262,23.4877,20220426 13:44:11,5,0.4,2.0,5,0.63,3.15,1,
272,1410,1410.259,23.5043166667,20220426 13:44:12,5,0.49,2.45,5,0.65,3.25,2,
273,1411,1411.258,23.5209666667,20220426 13:44:13,5,0.43,2.15,5,0.63,3.15,3,
274,1412,1412.264,23.5377333333,20220426 13:44:14,5,0.47,2.35,5,0.76,3.8,4,
275,1413,1413.258,23.5543,20220426 13:44:15,5,0.46,2.3,5,0.73,3.65,5,
276,1414,1414.258,23.5709666667,20220426 13:44:16,5,0.43,2.15,5,0.85,4.25,6,
277,1415,1415.256,23.5876,20220426 13:44:17,5,0.49,2.45,5,0.49,2.45,7,
278,1416,1416.26,23.6043333333,20220426 13:44:18,5,0.49,2.45,5,0.54,2.7,8,
279,1417,1417.256,23.6209333333,20220426 13:44:19,5,0.51,2.55,5,0.88,4.4,9,
280,1418,1418.265,23.63775,20220426 13:44:20,5,0.4,2.0,5,0.67,3.35,10,
281,1419,1419.265,23.6544166667,20220426 13:44:21,5,0.4,2.0,5,0.64,3.2,11,
282,1420,1420.256,23.6709333333,20220426 13:44:22,5,0.4,2.0,5,0.41,2.05,12,
283,1421,1421.259,23.68765,20220426 13:44:23,5,0.41,2.05,5,0.41,2.05,13,
284,1422,1422.263,23.7043833333,20220426 13:44:24,5,0.47,2.35,5,0.72,3.6,14,
285,1423,1423.256,23.7209333333,20220426 13:44:25,5,0.47,2.35,5,0.77,3.85,15,
286,1424,1424.259,23.73765,20220426 13:44:26,5,0.47,2.35,5,0.74,3.7,16,
287,1425,1425.256,23.7542666667,20220426 13:44:27,5,0.47,2.35,5,0.76,3.8,17,
