"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
131;131,301;2,18835;20220426 14:13:22;5;0,4;2;5;0,4;2
132;132,303;2,20505;20220426 14:13:23;5;0,4;2;5;0,4;2
133;133,303;2,2217166667;20220426 14:13:24;5;0,4;2;5;0,4;2
134;134,301;2,23835;20220426 14:13:25;5;0,4;2;5;0,4;2
135;135,301;2,2550166667;20220426 14:13:26;5;0,41;2,05;5;0,4;2
136;136,302;2,2717;20220426 14:13:27;5;0,41;2,05;5;0,4;2
137;137,301;2,28835;20220426 14:13:28;5;0,4;2;5;0,4;2
138;138,303;2,30505;20220426 14:13:29;5;0,4;2;5;0,4;2
139;139,301;2,3216833333;20220426 14:13:30;5;0,41;2,05;5;0,4;2
140;140,301;2,33835;20220426 14:13:31;5;0,4;2;5;0,4;2
141;141,302;2,3550333333;20220426 14:13:32;5;0,41;2,05;5;0,4;2
142;142,301;2,3716833333;20220426 14:13:33;5;0,4;2;5;0,4;2
143;143,303;2,3883833333;20220426 14:13:34;5;0,4;2;5;0,4;2
144;144,301;2,4050166667;20220426 14:13:35;5;0,4;2;5;0,4;2
145;145,301;2,4216833333;20220426 14:13:36;5;0,41;2,05;5;0,4;2
146;146,301;2,43835;20220426 14:13:37;5;0,4;2;5;0,4;2
147;147,301;2,4550166667;20220426 14:13:38;5;0,4;2;5;0,4;2
148;148,3;2,4716666667;20220426 14:13:39;5;0,4;2;5;0,4;2
149;149,302;2,4883666667;20220426 14:13:40;5;0,4;2;5;0,4;2
150;150,3;2,505;20220426 14:13:41;5;0,4;2;5;0,4;2
151;151,302;2,5217;20220426 14:13:42;5;0,4;2;5;0,4;2
152;152,3;2,5383333333;20220426 14:13:43;5;0,4;2;5;0,4;2
153;153,303;2,55505;20220426 14:13:44;5;0,4;2;5;0,4;2
154;154,3;2,5716666667;20220426 14:13:45;5;0,4;2;5;0,4;2
155;155,3;2,5883333333;20220426 14:13:46;5;0,4;2;5;0,4;2
156;156,302;2,6050333333;20220426 14:13:47;5;0,4;2;5;0,4;2
157;157,299;2,62165;20220426 14:13:48;5;0,4;2;5;0,4;2
158;158,299;2,6383166667;20220426 14:13:49;5;0,4;2;5;0,4;2
159;159,3;2,655;20220426 14:13:50;5;0,4;2;5;0,4;2
160;160,3;2,6716666667;20220426 14:13:51;5;0,4;2;5;0,4;2
161;161,3;2,6883333333;20220426 14:13:52;5;0,4;2;5;0,4;2
162;162,299;2,7049833333;20220426 14:13:53;5;0,4;2;5;0,4;2
163;163,3;2,7216666667;20220426 14:13:54;5;0,4;2;5;0,4;2
164;164,299;2,7383166667;20220426 14:13:55;5;0,4;2;5;0,4;2
165;165,3;2,755;20220426 14:13:56;5;0,4;2;5;0,4;2
166;166,302;2,7717;20220426 14:13:57;5;0,4;2;5;0,4;2
167;167,3;2,7883333333;20220426 14:13:58;5;0,4;2;5;0,4;2
168;168,299;2,8049833333;20220426 14:13:59;5;0,4;2;5;0,4;2
169;169,302;2,8217;20220426 14:14:00;5;0,4;2;5;0,4;2
170;170,3;2,8383333333;20220426 14:14:01;5;0,45;2,25;5;0,4;2
171;171,303;2,85505;20220426 14:14:02;5;0,4;2;5;0,4;2
172;172,299;2,87165;20220426 14:14:03;5;0,4;2;5;0,4;2
173;173,3;2,8883333333;20220426 14:14:04;5;0,4;2;5;0,4;2
174;174,3;2,905;20220426 14:14:05;5;0,4;2;5;0,4;2
175;175,3;2,9216666667;20220426 14:14:06;5;0,4;2;5;0,4;2
